txn_id,account_id,counterparty_id,amount,timestamp,merchant_category,device_id,ip_region,account_open_date
TXN-000498,AC-0044,MR-1629,98.73,2026-02-09 21:26:31,travel,DEV-0127,us-east,2026-09-11
TXN-000309,AC-0032,MR-4999,108.96,2026-03-19 00:51:46,entertainment,DEV-0134,us-east,2027-02-26
TXN-001845,AC-0142,MR-9204,110.72,2026-03-09 22:13:43,utilities,DEV-0195,us-east,2027-06-30
TXN-003990,AC-0287,MR-5197,32.83,2026-01-04 11:42:32,entertainment,DEV-0021,us-east,2027-12-15
TXN-004201,AC-0300,MR-4009,97.27,2026-01-25 12:54:47,entertainment,DEV-0283,us-west,2027-04-21
TXN-003296,AC-0244,MR-7511,10.71,2026-01-06 07:05:03,utilities,DEV-0103,us-east,2026-08-09
TXN-002388,AC-0177,MR-4539,51.13,2026-03-23 10:18:35,entertainment,DEV-0055,us-east,2027-02-23
TXN-000319,AC-0033,MR-1513,34.84,2026-01-05 00:29:23,retail,DEV-0131,us-east,2026-11-11
TXN-002773,AC-0207,MR-4666,13.75,2026-03-07 22:09:32,food,DEV-0005,us-west,2026-04-17
TXN-002765,AC-0206,MR-3977,7.8,2026-02-20 20:07:26,entertainment,DEV-0110,us-west,2027-04-08
TXN-001105,AC-0090,MR-8337,89.43,2026-03-19 05:11:20,food,DEV-0131,us-west,2027-04-28
TXN-003117,AC-0231,MR-1201,105.06,2026-02-11 06:46:32,travel,DEV-0290,us-west,2026-06-22
TXN-001790,AC-0138,MR-8241,53.59,2026-01-09 15:15:24,travel,DEV-0198,us-west,2026-05-28
TXN-001321,AC-0106,MR-5034,78.13,2026-03-12 08:19:21,travel,DEV-0089,us-east,2027-05-09
TXN-003190,AC-0237,MR-7215,91.35,2026-01-18 19:57:13,utilities,DEV-0183,us-east,2026-08-02
TXN-003601,AC-0261,MR-9638,69.07,2026-02-12 10:35:16,entertainment,DEV-0141,us-east,2026-08-25
TXN-002293,AC-0171,MR-1105,38.0,2026-03-22 11:38:26,utilities,DEV-0270,us-west,2026-05-22
TXN-002074,AC-0159,MR-4756,7.51,2026-02-14 20:00:40,food,DEV-0069,us-west,2026-11-07
TXN-002252,AC-0168,MR-8883,97.48,2026-02-01 12:29:43,retail,DEV-0251,us-west,2027-03-07
TXN-001052,AC-0085,MR-9269,67.49,2026-03-10 02:50:39,entertainment,DEV-0068,us-east,2027-11-12
TXN-003204,AC-0237,MR-2489,81.84,2026-01-16 21:02:30,travel,DEV-0183,us-east,2026-08-02
TXN-000271,AC-0029,MR-9860,64.35,2026-01-28 19:38:57,utilities,DEV-0211,us-east,2027-10-21
TXN-002368,AC-0176,MR-9758,12.24,2026-03-17 19:43:57,travel,DEV-0044,us-west,2027-09-11
TXN-003394,AC-0250,MR-8130,73.04,2026-03-15 23:12:29,utilities,DEV-0177,us-west,2027-08-27
TXN-001489,AC-0120,MR-4908,10.93,2026-03-25 01:02:55,retail,DEV-0044,us-west,2027-03-21
TXN-000756,AC-0062,MR-5837,65.65,2026-03-19 16:42:02,travel,DEV-0001,us-west,2027-12-30
TXN-004199,AC-0299,MR-7774,58.47,2026-03-27 04:51:48,food,DEV-0283,us-east,2026-08-11
TXN-001124,AC-0091,MR-7125,86.01,2026-01-07 23:09:40,travel,DEV-0031,us-west,2027-01-08
TXN-000352,AC-0036,AC-0075,252.33,2026-03-21 10:21:13,transfer,DEV-0110,us-west,2026-04-22
TXN-001792,AC-0138,MR-1388,69.61,2026-01-31 08:35:38,food,DEV-0198,us-west,2026-05-28
TXN-001733,AC-0135,MR-3150,57.67,2026-01-05 01:21:36,food,DEV-0164,us-east,2026-05-31
TXN-001633,AC-0129,MR-3178,110.26,2026-02-06 19:42:34,utilities,DEV-0261,us-east,2026-09-09
TXN-002535,AC-0189,MR-4112,115.7,2026-03-26 10:43:52,travel,DEV-0023,us-east,2027-07-25
TXN-002942,AC-0218,MR-1598,59.41,2026-01-26 22:35:06,entertainment,DEV-0092,us-east,2027-04-12
TXN-003828,AC-0275,MR-4470,56.95,2026-01-31 12:43:24,entertainment,DEV-0286,us-east,2026-12-23
TXN-004185,AC-0299,MR-6974,58.11,2026-02-18 09:40:36,food,DEV-0283,us-east,2026-08-11
TXN-002508,AC-0186,AC-0062,62.04,2026-01-18 08:35:27,transfer,DEV-0298,us-east,2026-12-30
TXN-000085,AC-0014,MR-5574,695.43,2026-03-27 01:12:40,retail,DEV-0186,eu-west,2027-03-01
TXN-000180,AC-0021,MR-3317,189.31,2026-01-14 05:03:56,retail,DEV-0058,us-east,2026-02-09
TXN-000843,AC-0068,MR-8346,23.6,2026-03-13 03:45:32,travel,DEV-0170,us-east,2026-07-05
TXN-003062,AC-0227,MR-5593,17.78,2026-02-11 19:29:34,entertainment,DEV-0102,us-west,2027-09-12
TXN-000097,AC-0015,MR-5778,681.56,2026-01-22 01:30:38,travel,DEV-0187,us-east,2026-10-29
TXN-002017,AC-0154,MR-6999,69.96,2026-02-17 20:50:23,travel,DEV-0282,us-west,2027-05-16
TXN-001264,AC-0101,AC-0248,232.14,2026-03-18 05:59:22,transfer,DEV-0272,us-east,2026-09-02
TXN-000870,AC-0070,MR-3859,52.2,2026-02-19 13:36:37,food,DEV-0051,us-east,2027-11-10
TXN-002291,AC-0171,MR-9754,46.71,2026-03-03 05:19:34,retail,DEV-0270,us-west,2026-05-22
TXN-002527,AC-0188,MR-2202,88.56,2026-01-21 13:39:26,utilities,DEV-0073,us-west,2026-04-11
TXN-004091,AC-0294,MR-4389,34.81,2026-03-11 02:23:20,retail,DEV-0024,us-east,2026-03-28
TXN-000791,AC-0064,MR-7498,5.45,2026-02-09 15:04:05,utilities,DEV-0242,us-east,2027-04-24
TXN-003524,AC-0257,MR-7535,16.7,2026-03-20 07:40:59,food,DEV-0033,us-west,2026-04-30
TXN-001072,AC-0087,MR-4513,97.45,2026-01-30 04:45:35,utilities,DEV-0032,us-west,2026-04-13
TXN-002754,AC-0205,MR-1877,60.74,2026-01-17 03:23:21,travel,DEV-0043,us-west,2027-12-02
TXN-000110,AC-0016,MR-4745,519.7,2026-02-03 06:02:23,travel,DEV-0126,us-east,2026-07-02
TXN-003380,AC-0249,MR-5229,19.58,2026-01-19 17:39:24,entertainment,DEV-0215,us-east,2026-09-08
TXN-002452,AC-0182,MR-5758,69.66,2026-03-24 15:43:02,utilities,DEV-0164,us-west,2027-04-04
TXN-003559,AC-0259,MR-4093,18.38,2026-01-23 00:05:33,travel,DEV-0172,us-east,2026-01-14
TXN-002347,AC-0175,MR-2476,34.82,2026-01-26 05:17:53,travel,DEV-0257,us-west,2026-10-17
TXN-001614,AC-0128,MR-3535,114.78,2026-03-14 03:21:26,travel,DEV-0063,us-east,2026-03-24
TXN-001787,AC-0138,MR-5179,75.39,2026-02-27 20:44:52,travel,DEV-0198,us-west,2026-05-28
TXN-001673,AC-0131,MR-9667,110.12,2026-02-03 21:17:18,food,DEV-0029,us-east,2027-09-26
TXN-003076,AC-0229,MR-1248,62.13,2026-03-16 08:41:07,utilities,DEV-0026,us-east,2026-07-08
TXN-001546,AC-0124,MR-9874,95.27,2026-02-19 09:06:25,travel,DEV-0096,us-west,2026-01-14
TXN-002944,AC-0219,MR-6432,26.61,2026-01-12 22:57:48,utilities,DEV-0206,us-east,2026-06-12
TXN-000909,AC-0072,MR-1628,94.06,2026-02-22 12:12:30,retail,DEV-0239,us-west,2026-12-09
TXN-001399,AC-0114,MR-8762,111.03,2026-02-15 03:38:38,food,DEV-0083,us-east,2026-12-19
TXN-002184,AC-0165,MR-3691,110.11,2026-01-27 02:10:38,food,DEV-0287,us-east,2027-04-09
TXN-001023,AC-0083,MR-5257,31.69,2026-02-25 04:23:14,food,DEV-0011,us-east,2026-02-25
TXN-000683,AC-0057,MR-3653,81.24,2026-01-11 13:29:41,travel,DEV-0145,us-west,2026-05-02
TXN-002507,AC-0186,MR-5219,95.5,2026-03-05 16:40:49,travel,DEV-0298,us-east,2026-12-30
TXN-003872,AC-0278,MR-9865,36.71,2026-02-28 16:21:07,food,DEV-0231,us-west,2027-09-28
TXN-000832,AC-0068,AC-0064,184.44,2026-02-19 09:34:13,transfer,DEV-0170,us-east,2026-07-05
TXN-003287,AC-0243,MR-3466,50.3,2026-02-16 04:15:48,travel,DEV-0284,us-west,2026-04-20
TXN-000808,AC-0065,MR-7448,38.47,2026-03-20 11:08:03,entertainment,DEV-0297,us-west,2027-10-11
TXN-001335,AC-0107,MR-7069,41.47,2026-02-28 04:53:11,food,DEV-0146,us-west,2027-07-19
TXN-001174,AC-0096,MR-9498,118.74,2026-03-26 06:36:47,utilities,DEV-0291,us-east,2026-03-11
TXN-002326,AC-0174,MR-5896,19.66,2026-02-06 18:02:50,food,DEV-0092,us-west,2026-03-13
TXN-000507,AC-0044,MR-5217,51.85,2026-02-20 13:36:19,entertainment,DEV-0127,us-east,2026-09-11
TXN-002012,AC-0154,MR-6368,87.14,2026-03-05 15:54:09,entertainment,DEV-0282,us-west,2027-05-16
TXN-000206,AC-0023,MR-4002,57.63,2026-02-16 17:35:19,travel,DEV-0237,us-central,2026-05-07
TXN-000150,AC-0019,MR-9559,840.21,2026-02-26 16:47:23,retail,DEV-0261,us-west,2027-11-15
TXN-001181,AC-0096,MR-4347,55.72,2026-02-21 17:32:37,food,DEV-0291,us-east,2026-03-11
TXN-004002,AC-0288,MR-7507,119.19,2026-03-25 09:25:43,utilities,DEV-0294,us-west,2027-03-10
TXN-003962,AC-0285,MR-6031,63.52,2026-01-05 19:17:12,food,DEV-0214,us-west,2027-03-03
TXN-002322,AC-0173,MR-9801,91.4,2026-03-22 21:21:17,entertainment,DEV-0244,us-east,2027-12-12
TXN-001018,AC-0082,MR-9766,13.6,2026-01-10 19:19:23,entertainment,DEV-0142,us-east,2027-10-31
TXN-001211,AC-0097,MR-3676,75.96,2026-01-07 12:27:12,food,DEV-0270,us-west,2026-04-28
TXN-000585,AC-0051,MR-3605,31.53,2026-03-22 14:46:17,travel,DEV-0189,us-west,2026-12-18
TXN-001379,AC-0111,MR-4790,88.79,2026-02-11 23:23:18,utilities,DEV-0068,us-west,2026-04-24
TXN-000176,AC-0021,MR-4387,102.54,2026-03-11 18:47:48,travel,DEV-0260,eu-west,2026-02-09
TXN-003013,AC-0223,MR-5079,109.24,2026-03-08 16:46:59,food,DEV-0163,us-west,2027-07-29
TXN-000745,AC-0060,MR-2232,112.12,2026-01-12 00:31:48,retail,DEV-0171,us-west,2026-04-20
TXN-003659,AC-0264,MR-7387,12.48,2026-02-27 04:36:26,retail,DEV-0259,us-east,2026-09-03
TXN-000145,AC-0018,MR-1776,559.11,2026-02-08 23:21:46,travel,DEV-0127,eu-west,2026-12-14
TXN-002575,AC-0192,MR-7503,82.41,2026-02-27 21:33:51,travel,DEV-0235,us-east,2026-04-11
TXN-003482,AC-0255,MR-2042,49.0,2026-01-23 03:54:44,entertainment,DEV-0110,us-east,2026-04-30
TXN-003658,AC-0264,MR-2860,38.74,2026-02-17 04:08:50,entertainment,DEV-0259,us-east,2026-09-03
TXN-004117,AC-0295,MR-5892,35.32,2026-01-24 18:14:09,retail,DEV-0201,us-west,2026-05-22
TXN-000297,AC-0032,MR-2188,81.32,2026-03-16 10:13:10,retail,DEV-0134,us-east,2027-02-26
TXN-002441,AC-0181,MR-4490,96.26,2026-02-09 23:41:23,entertainment,DEV-0101,us-west,2027-11-08
TXN-002576,AC-0192,AC-0128,328.31,2026-01-22 16:41:25,transfer,DEV-0235,us-east,2026-04-11
TXN-000212,AC-0024,MR-7797,47.12,2026-01-17 02:27:33,travel,DEV-0233,us-central,2027-04-21
TXN-003538,AC-0258,MR-7756,92.83,2026-01-05 20:24:24,utilities,DEV-0215,us-west,2027-11-03
TXN-000656,AC-0055,MR-2115,97.8,2026-03-25 09:14:02,utilities,DEV-0077,us-west,2027-07-29
TXN-002533,AC-0188,MR-4544,68.23,2026-01-03 02:30:06,travel,DEV-0073,us-west,2026-04-11
TXN-000071,AC-0011,MR-1199,135.72,2026-02-03 06:07:58,food,DEV-0045,us-east,2026-02-06
TXN-002321,AC-0173,MR-3104,68.21,2026-03-03 14:30:17,travel,DEV-0244,us-east,2027-12-12
TXN-000409,AC-0039,AC-0029,452.53,2026-02-27 12:28:37,transfer,DEV-0142,us-west,2027-10-01
TXN-003376,AC-0249,MR-9398,79.04,2026-01-22 02:47:51,entertainment,DEV-0215,us-east,2026-09-08
TXN-000034,AC-0003,AC-0010,634.75,2026-03-14 02:54:00,transfer,DEV-0141,us-east,2026-02-19
TXN-000009,AC-0005,AC-0006,527.86,2026-03-18 02:28:00,transfer,DEV-0126,us-east,2026-02-13
TXN-002741,AC-0204,MR-4918,21.99,2026-03-23 19:22:52,retail,DEV-0024,us-east,2027-11-10
TXN-002341,AC-0174,MR-3140,88.42,2026-02-03 11:43:06,retail,DEV-0092,us-west,2026-03-13
TXN-001832,AC-0140,MR-9685,23.61,2026-03-06 07:19:17,entertainment,DEV-0260,us-west,2026-09-16
TXN-002666,AC-0199,MR-1417,119.07,2026-02-12 09:35:43,entertainment,DEV-0022,us-west,2027-10-23
TXN-000472,AC-0042,MR-1442,70.39,2026-03-23 04:59:26,food,DEV-0015,us-west,2026-01-30
TXN-002229,AC-0167,MR-5112,27.55,2026-03-18 20:24:09,food,DEV-0075,us-east,2027-09-14
TXN-001558,AC-0125,MR-2317,44.54,2026-03-10 03:50:08,travel,DEV-0180,us-west,2026-11-07
TXN-001021,AC-0083,MR-4320,63.19,2026-01-09 23:19:59,food,DEV-0011,us-east,2026-02-25
TXN-000818,AC-0066,MR-5248,97.07,2026-03-17 23:23:52,utilities,DEV-0194,us-west,2026-10-17
TXN-003080,AC-0229,MR-8556,26.31,2026-03-03 01:39:04,utilities,DEV-0026,us-east,2026-07-08
TXN-003409,AC-0251,MR-5267,107.01,2026-02-27 05:49:13,travel,DEV-0244,us-west,2027-04-03
TXN-003639,AC-0263,MR-3260,20.04,2026-02-21 02:39:01,food,DEV-0267,us-west,2026-11-15
TXN-001499,AC-0121,MR-9538,63.21,2026-02-25 09:56:13,travel,DEV-0124,us-east,2026-01-17
TXN-003066,AC-0227,MR-6051,82.92,2026-03-15 21:42:34,retail,DEV-0102,us-west,2027-09-12
TXN-003889,AC-0279,MR-3821,51.73,2026-01-14 05:09:58,travel,DEV-0261,us-east,2027-03-25
TXN-002657,AC-0199,MR-2533,32.79,2026-01-31 12:22:58,retail,DEV-0022,us-west,2027-10-23
TXN-001462,AC-0118,MR-3796,77.81,2026-01-17 21:05:04,retail,DEV-0271,us-west,2027-09-23
TXN-000933,AC-0074,MR-4515,110.35,2026-03-17 16:09:37,retail,DEV-0181,us-east,2026-06-18
TXN-002673,AC-0199,AC-0241,429.71,2026-03-24 14:19:51,transfer,DEV-0022,us-west,2027-10-23
TXN-002320,AC-0173,MR-2532,112.08,2026-01-19 15:05:43,retail,DEV-0244,us-east,2027-12-12
TXN-001455,AC-0118,MR-7312,60.93,2026-01-22 16:32:10,entertainment,DEV-0271,us-west,2027-09-23
TXN-003809,AC-0274,MR-4054,14.72,2026-02-07 07:04:37,utilities,DEV-0143,us-east,2026-03-19
TXN-002391,AC-0177,MR-8766,36.94,2026-01-01 05:08:37,retail,DEV-0055,us-east,2027-02-23
TXN-000812,AC-0065,MR-5075,17.18,2026-01-21 02:15:20,entertainment,DEV-0297,us-west,2027-10-11
TXN-001514,AC-0122,MR-2117,101.28,2026-01-05 04:05:11,utilities,DEV-0104,us-east,2027-12-19
TXN-002097,AC-0160,MR-6543,64.1,2026-03-17 22:53:10,entertainment,DEV-0080,us-west,2027-07-14
TXN-001030,AC-0083,AC-0180,318.31,2026-01-24 11:58:33,transfer,DEV-0011,us-east,2026-02-25
TXN-001033,AC-0083,MR-9442,84.57,2026-02-19 18:32:29,entertainment,DEV-0011,us-east,2026-02-25
TXN-002423,AC-0180,MR-2268,78.25,2026-01-27 04:47:49,entertainment,DEV-0075,us-east,2026-09-02
TXN-003379,AC-0249,MR-8930,25.9,2026-01-22 22:41:45,retail,DEV-0215,us-east,2026-09-08
TXN-003960,AC-0285,MR-8979,49.68,2026-01-31 15:59:52,entertainment,DEV-0214,us-west,2027-03-03
TXN-001675,AC-0131,MR-4258,12.78,2026-01-17 07:11:16,entertainment,DEV-0029,us-east,2027-09-26
TXN-000372,AC-0037,MR-5324,32.63,2026-02-27 09:20:01,utilities,DEV-0197,us-west,2027-06-28
TXN-002592,AC-0194,MR-8600,50.07,2026-03-05 06:55:54,food,DEV-0161,us-east,2027-10-12
TXN-003451,AC-0254,MR-1040,106.91,2026-03-10 06:03:00,food,DEV-0189,us-west,2027-05-02
TXN-002541,AC-0190,MR-8642,14.39,2026-02-27 16:22:38,travel,DEV-0265,us-east,2027-03-04
TXN-002067,AC-0158,MR-4606,102.98,2026-03-06 10:24:17,utilities,DEV-0242,us-east,2027-08-12
TXN-000844,AC-0068,MR-9918,10.62,2026-03-09 02:44:14,entertainment,DEV-0170,us-east,2026-07-05
TXN-001728,AC-0135,MR-9931,35.77,2026-02-19 04:29:04,retail,DEV-0164,us-east,2026-05-31
TXN-003564,AC-0259,MR-8740,72.2,2026-02-28 03:55:50,utilities,DEV-0172,us-east,2026-01-14
TXN-000801,AC-0064,MR-6021,108.75,2026-03-20 02:17:26,travel,DEV-0242,us-east,2027-04-24
TXN-001732,AC-0135,MR-1335,47.36,2026-02-28 00:46:32,utilities,DEV-0164,us-east,2026-05-31
TXN-003620,AC-0262,AC-0183,114.27,2026-01-11 14:52:18,transfer,DEV-0272,us-east,2026-03-25
TXN-002601,AC-0195,MR-6953,15.26,2026-02-21 17:15:40,utilities,DEV-0215,us-east,2026-04-12
TXN-000799,AC-0064,MR-9289,61.68,2026-03-10 18:54:14,travel,DEV-0242,us-east,2027-04-24
TXN-001232,AC-0099,MR-5057,103.9,2026-02-05 06:37:28,travel,DEV-0294,us-west,2027-02-13
TXN-000491,AC-0044,MR-2020,107.89,2026-01-25 06:14:41,food,DEV-0127,us-east,2026-09-11
TXN-001567,AC-0126,MR-1280,21.35,2026-03-22 02:47:49,retail,DEV-0082,us-east,2027-06-13
TXN-002402,AC-0179,MR-7163,17.6,2026-02-05 14:58:25,entertainment,DEV-0287,us-east,2026-02-28
TXN-001423,AC-0116,MR-2066,20.71,2026-03-11 00:18:23,travel,DEV-0231,us-west,2026-10-21
TXN-000597,AC-0052,MR-9861,7.43,2026-01-29 03:44:53,food,DEV-0275,us-east,2026-09-01
TXN-000018,AC-0009,AC-0007,565.33,2026-02-14 03:38:00,transfer,DEV-0053,us-east,2026-02-03
TXN-002196,AC-0165,MR-4639,63.95,2026-02-21 01:46:20,utilities,DEV-0287,us-east,2027-04-09
TXN-002612,AC-0196,MR-1837,53.82,2026-02-28 22:22:48,travel,DEV-0276,us-east,2026-12-26
TXN-002412,AC-0180,MR-5938,51.61,2026-02-26 13:48:14,food,DEV-0075,us-east,2026-09-02
TXN-000970,AC-0077,MR-3975,84.99,2026-01-13 08:54:53,food,DEV-0196,us-west,2027-03-22
TXN-000239,AC-0026,MR-9668,197.4,2026-02-11 09:10:59,travel,DEV-0259,us-west,2027-04-11
TXN-002171,AC-0164,MR-7038,87.38,2026-02-15 14:39:28,entertainment,DEV-0069,us-west,2026-05-04
TXN-002234,AC-0167,MR-3168,55.64,2026-01-09 04:13:41,food,DEV-0075,us-east,2027-09-14
TXN-001784,AC-0138,MR-2049,35.3,2026-01-30 07:09:27,food,DEV-0198,us-west,2026-05-28
TXN-004146,AC-0297,MR-7063,39.8,2026-02-15 23:52:18,food,DEV-0298,us-west,2027-06-12
TXN-003490,AC-0255,MR-4088,64.32,2026-03-05 03:18:31,utilities,DEV-0110,us-east,2026-04-30
TXN-002707,AC-0201,MR-5926,55.67,2026-03-03 06:59:34,utilities,DEV-0031,us-west,2027-11-14
TXN-000502,AC-0044,MR-3824,39.84,2026-02-02 20:46:00,entertainment,DEV-0127,us-east,2026-09-11
TXN-002776,AC-0207,MR-3509,51.24,2026-01-10 17:23:41,retail,DEV-0005,us-west,2026-04-17
TXN-001554,AC-0125,MR-6743,50.55,2026-01-04 13:30:24,retail,DEV-0180,us-west,2026-11-07
TXN-000070,AC-0011,MR-9040,108.58,2026-01-29 02:49:28,food,DEV-0045,us-east,2026-02-06
TXN-000506,AC-0044,MR-9007,14.33,2026-01-02 09:45:38,retail,DEV-0127,us-east,2026-09-11
TXN-001779,AC-0138,MR-1664,49.47,2026-01-12 17:33:02,entertainment,DEV-0198,us-west,2026-05-28
TXN-000706,AC-0058,MR-6005,53.33,2026-01-17 17:47:26,entertainment,DEV-0207,us-west,2027-06-13
TXN-001570,AC-0126,MR-8453,8.48,2026-02-23 03:54:34,food,DEV-0082,us-east,2027-06-13
TXN-003945,AC-0284,MR-1422,75.26,2026-03-08 09:22:59,entertainment,DEV-0032,us-west,2027-11-10
TXN-002154,AC-0163,MR-5401,74.37,2026-03-27 01:37:47,food,DEV-0025,us-west,2027-03-17
TXN-001676,AC-0131,MR-7119,116.39,2026-03-28 02:23:41,entertainment,DEV-0029,us-east,2027-09-26
TXN-000255,AC-0028,MR-2073,119.72,2026-03-04 09:04:54,retail,DEV-0108,us-east,2027-07-20
TXN-003333,AC-0246,MR-1460,49.6,2026-03-06 04:30:03,utilities,DEV-0199,us-west,2026-09-25
TXN-000950,AC-0075,AC-0222,319.34,2026-02-01 11:50:31,transfer,DEV-0090,us-east,2027-07-11
TXN-001002,AC-0080,MR-4299,38.62,2026-02-16 08:21:57,travel,DEV-0213,us-east,2026-03-12
TXN-003048,AC-0225,MR-7281,78.24,2026-01-29 14:08:15,utilities,DEV-0263,us-east,2027-05-14
TXN-003115,AC-0231,MR-4360,31.42,2026-02-16 08:52:06,food,DEV-0290,us-west,2026-06-22
TXN-003028,AC-0224,MR-9408,51.08,2026-03-14 19:10:33,travel,DEV-0062,us-west,2027-01-14
TXN-003848,AC-0276,MR-8000,54.72,2026-01-24 08:19:49,entertainment,DEV-0287,us-west,2027-02-20
TXN-003883,AC-0279,MR-3975,68.54,2026-03-11 22:31:42,food,DEV-0261,us-east,2027-03-25
TXN-001617,AC-0128,MR-5316,5.12,2026-03-27 14:26:18,entertainment,DEV-0063,us-east,2026-03-24
TXN-002186,AC-0165,AC-0147,335.25,2026-03-22 15:36:12,transfer,DEV-0287,us-east,2027-04-09
TXN-001117,AC-0091,MR-7698,56.83,2026-03-08 20:48:09,utilities,DEV-0031,us-west,2027-01-08
TXN-002510,AC-0186,MR-5781,88.71,2026-03-08 19:30:02,utilities,DEV-0298,us-east,2026-12-30
TXN-001352,AC-0108,MR-9213,62.12,2026-03-06 22:53:35,retail,DEV-0299,us-east,2027-05-15
TXN-000795,AC-0064,MR-4331,113.39,2026-03-26 14:37:12,food,DEV-0242,us-east,2027-04-24
TXN-001449,AC-0118,MR-4587,11.14,2026-02-22 23:22:50,food,DEV-0271,us-west,2027-09-23
TXN-003531,AC-0258,MR-8047,67.37,2026-01-21 21:35:56,entertainment,DEV-0215,us-west,2027-11-03
TXN-000062,AC-0009,MR-1969,184.04,2026-01-21 11:44:13,food,DEV-0053,us-east,2026-02-03
TXN-001413,AC-0115,MR-2852,63.39,2026-03-25 17:08:42,entertainment,DEV-0083,us-west,2026-12-04
